glass_id,n_total,manufacturer,tauV_percent_ISO8980_n,tauV_percent_ISO8980_mean,tauV_percent_ISO8980_sd,tauV_percent_ISO8980_ci95_lo,tauV_percent_ISO8980_ci95_hi,tauV_percent_ISO8980_repeatability_limit,tauV_percent_ISO8980_removed_outliers,tauV_category_ISO12312_1_from_mean,tauV_driving_ok_from_mean,tauV_category_ISO12312_1_from_CI95_lo,tauV_driving_ok_from_CI95_lo,tau_SUVA_315_380_percent_ISO8980_n,tau_SUVA_315_380_percent_ISO8980_mean,tau_SUVA_315_380_percent_ISO8980_sd,tau_SUVA_315_380_percent_ISO8980_ci95_lo,tau_SUVA_315_380_percent_ISO8980_ci95_hi,tau_SUVA_315_380_percent_ISO8980_repeatability_limit,tau_SUVA_315_380_percent_ISO8980_removed_outliers,tau_SUVB_280_315_percent_ISO8980_n,tau_SUVB_280_315_percent_ISO8980_mean,tau_SUVB_280_315_percent_ISO8980_sd,tau_SUVB_280_315_percent_ISO8980_ci95_lo,tau_SUVB_280_315_percent_ISO8980_ci95_hi,tau_SUVB_280_315_percent_ISO8980_repeatability_limit,tau_SUVB_280_315_percent_ISO8980_removed_outliers
HOYA_01,10,HOYA,7,94.631,0.118,94.522,94.74,0.329,3,0,True,0,True,10,15.023,0.045,14.991,15.055,0.126,0,0,,,,,,0
HOYA_02,10,HOYA,10,94.954,0.602,94.524,95.385,1.685,0,0,True,0,True,8,15.151,0.035,15.122,15.18,0.098,2,0,,,,,,0
HOYA_03,10,HOYA,7,94.711,0.155,94.568,94.854,0.433,3,0,True,0,True,9,14.496,0.042,14.464,14.528,0.117,1,0,,,,,,0
HOYA_04,10,HOYA,10,94.374,0.41,94.08,94.667,1.148,0,0,True,0,True,10,14.55,0.062,14.506,14.594,0.172,0,0,,,,,,0
HOYA_05,10,HOYA,10,94.474,0.375,94.206,94.742,1.05,0,0,True,0,True,9,14.94,0.057,14.896,14.984,0.159,1,0,,,,,,0
HOYA_06,10,HOYA,10,94.365,0.407,94.074,94.657,1.141,0,0,True,0,True,10,15.119,0.069,15.07,15.168,0.193,0,0,,,,,,0
HOYA_07,10,HOYA,9,94.766,0.24,94.582,94.951,0.673,1,0,True,0,True,9,14.765,0.048,14.728,14.802,0.136,1,0,,,,,,0
HOYA_08,10,HOYA,10,94.502,0.526,94.126,94.878,1.472,0,0,True,0,True,10,14.666,0.045,14.634,14.699,0.126,0,0,,,,,,0
HOYA_09,10,HOYA,10,94.79,0.37,94.525,95.054,1.036,0,0,True,0,True,10,15.455,0.08,15.398,15.511,0.223,0,0,,,,,,0
HOYA_10,10,HOYA,10,94.477,0.364,94.216,94.737,1.019,0,0,True,0,True,9,14.889,0.074,14.833,14.946,0.207,1,0,,,,,,0
MPO_01,10,MPO,9,76.618,0.063,76.57,76.666,0.176,1,1,True,1,True,10,7.231,0.147,7.126,7.337,0.412,0,0,,,,,,0
MPO_02,10,MPO,9,76.313,0.075,76.256,76.371,0.21,1,1,True,1,True,9,7.317,0.095,7.244,7.39,0.265,1,0,,,,,,0
MPO_03,10,MPO,9,75.494,0.127,75.396,75.592,0.356,1,1,True,1,True,9,7.068,0.155,6.949,7.188,0.434,1,0,,,,,,0
