file,ref_id,tauV_percent_ISO8980,nominal_tauV_percent,tol_percent,delta_percent,within_tol
NDUVW01B_01_20251217_112926_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.462,79.0,5.0,6.462,False
NDUVW01B_01_20251217_132932_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.735,79.0,5.0,6.735,False
NDUVW01B_01_20251217_154721_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.283,79.0,5.0,6.283,False
NDUVW01B_01_20251217_164226_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.714,79.0,5.0,6.714,False
NDUVW01B_01_20251217_175848_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.538,79.0,5.0,6.538,False
NDUVW01B_01_20251218_110609_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.054,79.0,5.0,7.054,False
NDUVW01B_01_20260113_123635_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.041,79.0,5.0,7.041,False
NDUVW01B_01_20260113_141913_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.928,79.0,5.0,6.928,False
NDUVW01B_01_20260113_153443_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.116,79.0,5.0,7.116,False
NDUVW01B_02_20251217_112959_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.831,79.0,5.0,6.831,False
NDUVW01B_02_20251217_133001_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.815,79.0,5.0,6.815,False
NDUVW01B_02_20251217_154801_TOPCON_SOLOS_420001417.xml,NDUVW01B,84.994,79.0,5.0,5.994,False
NDUVW01B_02_20251217_164253_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.339,79.0,5.0,6.339,False
NDUVW01B_02_20251217_175939_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.329,79.0,5.0,6.329,False
NDUVW01B_02_20251218_110639_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.051,79.0,5.0,7.051,False
NDUVW01B_02_20260113_123707_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.141,79.0,5.0,7.141,False
NDUVW01B_02_20260113_142036_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.108,79.0,5.0,7.108,False
NDUVW01B_02_20260113_153508_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.835,79.0,5.0,6.835,False
NDUVW01B_03_20251217_113039_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.539,79.0,5.0,6.539,False
NDUVW01B_03_20251217_133041_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.604,79.0,5.0,6.604,False
NDUVW01B_03_20251217_154829_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.414,79.0,5.0,6.414,False
NDUVW01B_03_20251217_164435_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.607,79.0,5.0,6.607,False
NDUVW01B_03_20251217_180006_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.477,79.0,5.0,6.477,False
NDUVW01B_03_20251218_110707_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.905,79.0,5.0,6.905,False
NDUVW01B_03_20260113_123736_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.154,79.0,5.0,7.154,False
NDUVW01B_03_20260113_142134_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.192,79.0,5.0,7.192,False
NDUVW01B_03_20260113_153532_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.068,79.0,5.0,7.068,False
NDUVW01B_04_20251217_113109_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.226,79.0,5.0,6.226,False
NDUVW01B_04_20251217_133118_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.487,79.0,5.0,6.487,False
NDUVW01B_04_20251217_154859_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.466,79.0,5.0,6.466,False
NDUVW01B_04_20251217_164516_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.714,79.0,5.0,7.714,False
NDUVW01B_04_20251217_180036_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.459,79.0,5.0,6.459,False
