wavelength_nm,T_percent
315.0,1.0
316.0,1.0
317.0,1.0
318.0,1.0
319.0,1.0
320.0,1.0
321.0,1.0
322.0,1.0
323.0,1.0
324.0,1.0
325.0,0.0
326.0,1.0
327.0,1.0
328.0,1.0
329.0,1.0
330.0,1.0
331.0,1.0
332.0,1.0
333.0,1.0
334.0,1.0
335.0,1.0
336.0,1.0
337.0,1.0
338.0,1.0
339.0,1.0
340.0,1.0
341.0,1.0
342.0,1.0
343.0,1.0
344.0,1.0
345.0,1.0
346.0,1.0
347.0,1.0
348.0,1.0
349.0,1.0
350.0,1.0
351.0,2.0
352.0,3.0
353.0,4.0
354.0,5.0
355.0,6.0
356.0,7.0
357.0,8.0
358.0,10.0
359.0,12.0
360.0,14.0
361.0,16.0
362.0,18.0
363.0,19.0
364.0,21.0
365.0,23.0
366.0,26.0
367.0,28.0
368.0,31.0
369.0,33.0
370.0,35.0
371.0,38.0
372.0,42.0
373.0,47.0
374.0,51.0
375.0,55.0
376.0,58.0
377.0,61.0
378.0,64.0
379.0,66.0
380.0,69.0
381.0,71.0
382.0,73.0
383.0,75.0
384.0,76.0
385.0,77.0
386.0,78.0
387.0,79.0
388.0,80.0
389.0,81.0
390.0,82.0
391.0,82.0
392.0,83.0
393.0,84.0
394.0,85.0
395.0,86.0
396.0,87.0
397.0,87.0
398.0,88.0
399.0,88.0
400.0,89.0
401.0,89.0
402.0,90.0
403.0,90.0
404.0,91.0
405.0,91.0
406.0,91.0
407.0,91.0
408.0,92.0
409.0,92.0
410.0,92.0
411.0,92.0
412.0,92.0
413.0,92.0
414.0,93.0
415.0,93.0
416.0,93.0
417.0,93.0
418.0,93.0
419.0,93.0
420.0,93.0
421.0,93.0
422.0,93.0
423.0,93.0
424.0,93.0
425.0,93.0
426.0,93.0
427.0,93.0
428.0,93.0
429.0,93.0
430.0,93.0
431.0,93.0
432.0,93.0
433.0,93.0
434.0,93.0
435.0,93.0
436.0,93.0
437.0,93.0
438.0,93.0
439.0,94.0
440.0,94.0
441.0,94.0
442.0,94.0
443.0,94.0
444.0,94.0
445.0,94.0
446.0,94.0
447.0,94.0
448.0,94.0
449.0,94.0
450.0,94.0
451.0,94.0
452.0,94.0
453.0,94.0
454.0,94.0
455.0,94.0
456.0,94.0
457.0,94.0
458.0,94.0
459.0,94.0
460.0,94.0
461.0,94.0
462.0,94.0
463.0,94.0
464.0,94.0
465.0,94.0
466.0,94.0
467.0,94.0
468.0,94.0
469.0,94.0
470.0,94.0
471.0,94.0
472.0,94.0
473.0,94.0
474.0,94.0
475.0,94.0
476.0,94.0
477.0,94.0
478.0,94.0
479.0,94.0
480.0,94.0
481.0,94.0
482.0,94.0
483.0,94.0
484.0,94.0
485.0,94.0
486.0,94.0
487.0,94.0
488.0,94.0
489.0,94.0
490.0,94.0
491.0,94.0
492.0,94.0
493.0,94.0
494.0,94.0
495.0,94.0
496.0,94.0
497.0,94.0
498.0,94.0
499.0,94.0
500.0,94.0
501.0,94.0
502.0,94.0
503.0,94.0
504.0,94.0
505.0,94.0
506.0,94.0
507.0,94.0
508.0,94.0
509.0,94.0
510.0,94.0
511.0,94.0
512.0,94.0
513.0,94.0
514.0,94.0
515.0,94.0
516.0,94.0
517.0,94.0
518.0,94.0
519.0,94.0
520.0,94.0
521.0,94.0
522.0,94.0
523.0,94.0
524.0,94.0
525.0,94.0
526.0,94.0
527.0,94.0
528.0,94.0
529.0,94.0
530.0,94.0
531.0,94.0
532.0,94.0
533.0,94.0
534.0,94.0
535.0,94.0
536.0,94.0
537.0,94.0
538.0,95.0
539.0,95.0
540.0,95.0
541.0,95.0
542.0,95.0
543.0,95.0
544.0,95.0
545.0,95.0
546.0,95.0
547.0,95.0
548.0,94.0
549.0,94.0
550.0,94.0
551.0,94.0
552.0,94.0
553.0,94.0
554.0,94.0
555.0,94.0
556.0,94.0
557.0,94.0
558.0,94.0
559.0,94.0
560.0,94.0
561.0,94.0
562.0,94.0
563.0,94.0
564.0,94.0
565.0,94.0
566.0,94.0
567.0,94.0
568.0,94.0
569.0,94.0
570.0,94.0
571.0,94.0
572.0,94.0
573.0,94.0
574.0,94.0
575.0,94.0
576.0,94.0
577.0,94.0
578.0,94.0
579.0,94.0
580.0,94.0
581.0,94.0
582.0,94.0
583.0,94.0
584.0,94.0
585.0,94.0
586.0,94.0
587.0,94.0
588.0,94.0
589.0,94.0
590.0,94.0
591.0,95.0
592.0,95.0
593.0,95.0
594.0,95.0
595.0,95.0
596.0,94.0
597.0,94.0
598.0,94.0
599.0,94.0
600.0,94.0
601.0,94.0
602.0,94.0
603.0,94.0
604.0,94.0
605.0,94.0
606.0,94.0
607.0,94.0
608.0,94.0
609.0,94.0
610.0,94.0
611.0,94.0
612.0,94.0
613.0,94.0
614.0,94.0
615.0,94.0
616.0,94.0
617.0,94.0
618.0,94.0
619.0,94.0
620.0,94.0
621.0,94.0
622.0,94.0
623.0,94.0
624.0,94.0
625.0,94.0
626.0,94.0
627.0,94.0
628.0,94.0
629.0,94.0
630.0,94.0
631.0,94.0
632.0,93.0
633.0,93.0
634.0,93.0
635.0,93.0
636.0,93.0
637.0,93.0
638.0,93.0
639.0,93.0
640.0,93.0
641.0,93.0
642.0,93.0
643.0,93.0
644.0,93.0
645.0,93.0
646.0,93.0
647.0,93.0
648.0,93.0
649.0,93.0
650.0,93.0
651.0,93.0
652.0,93.0
653.0,93.0
654.0,93.0
655.0,93.0
656.0,93.0
657.0,93.0
658.0,93.0
659.0,94.0
660.0,94.0
661.0,94.0
662.0,94.0
663.0,94.0
664.0,94.0
665.0,94.0
666.0,94.0
667.0,94.0
668.0,94.0
669.0,94.0
670.0,94.0
671.0,94.0
672.0,94.0
673.0,94.0
674.0,94.0
675.0,94.0
676.0,94.0
677.0,94.0
678.0,94.0
679.0,94.0
680.0,94.0
681.0,94.0
682.0,93.0
683.0,93.0
684.0,93.0
685.0,93.0
686.0,93.0
687.0,93.0
688.0,93.0
689.0,93.0
690.0,93.0
691.0,93.0
692.0,93.0
693.0,93.0
694.0,93.0
695.0,93.0
696.0,93.0
697.0,93.0
698.0,93.0
699.0,93.0
700.0,93.0
701.0,93.0
702.0,93.0
703.0,93.0
704.0,93.0
705.0,93.0
706.0,93.0
707.0,93.0
708.0,93.0
709.0,93.0
710.0,93.0
