wavelength_nm,T_percent
315.0,85.0
316.0,85.0
317.0,85.0
318.0,85.0
319.0,85.0
320.0,85.0
321.0,85.0
322.0,85.0
323.0,85.0
324.0,85.0
325.0,85.0
326.0,85.0
327.0,85.0
328.0,85.0
329.0,85.0
330.0,85.0
331.0,85.0
332.0,85.0
333.0,84.0
334.0,84.0
335.0,85.0
336.0,85.0
337.0,85.0
338.0,85.0
339.0,85.0
340.0,85.0
341.0,85.0
342.0,85.0
343.0,85.0
344.0,86.0
345.0,86.0
346.0,86.0
347.0,86.0
348.0,86.0
349.0,85.0
350.0,85.0
351.0,85.0
352.0,85.0
353.0,85.0
354.0,85.0
355.0,85.0
356.0,85.0
357.0,85.0
358.0,85.0
359.0,85.0
360.0,85.0
361.0,85.0
362.0,85.0
363.0,85.0
364.0,85.0
365.0,85.0
366.0,85.0
367.0,86.0
368.0,86.0
369.0,86.0
370.0,86.0
371.0,86.0
372.0,86.0
373.0,86.0
374.0,86.0
375.0,86.0
376.0,86.0
377.0,86.0
378.0,86.0
379.0,86.0
380.0,86.0
381.0,86.0
382.0,87.0
383.0,87.0
384.0,87.0
385.0,87.0
386.0,87.0
387.0,87.0
388.0,87.0
389.0,87.0
390.0,86.0
391.0,86.0
392.0,86.0
393.0,86.0
394.0,86.0
395.0,86.0
396.0,86.0
397.0,86.0
398.0,86.0
399.0,86.0
400.0,86.0
401.0,86.0
402.0,86.0
403.0,86.0
404.0,86.0
405.0,86.0
406.0,86.0
407.0,86.0
408.0,86.0
409.0,86.0
410.0,86.0
411.0,86.0
412.0,86.0
413.0,86.0
414.0,86.0
415.0,86.0
416.0,86.0
417.0,86.0
418.0,86.0
419.0,86.0
420.0,86.0
421.0,86.0
422.0,86.0
423.0,86.0
424.0,86.0
425.0,86.0
426.0,86.0
427.0,86.0
428.0,86.0
429.0,86.0
430.0,86.0
431.0,85.0
432.0,85.0
433.0,85.0
434.0,85.0
435.0,85.0
436.0,85.0
437.0,85.0
438.0,85.0
439.0,85.0
440.0,85.0
441.0,85.0
442.0,85.0
443.0,85.0
444.0,85.0
445.0,85.0
446.0,85.0
447.0,85.0
448.0,86.0
449.0,86.0
450.0,86.0
451.0,86.0
452.0,86.0
453.0,86.0
454.0,86.0
455.0,86.0
456.0,86.0
457.0,86.0
458.0,86.0
459.0,86.0
460.0,86.0
461.0,86.0
462.0,87.0
463.0,87.0
464.0,87.0
465.0,87.0
466.0,87.0
467.0,87.0
468.0,87.0
469.0,87.0
470.0,87.0
471.0,87.0
472.0,87.0
473.0,87.0
474.0,87.0
475.0,87.0
476.0,87.0
477.0,87.0
478.0,87.0
479.0,87.0
480.0,87.0
481.0,87.0
482.0,87.0
483.0,87.0
484.0,87.0
485.0,87.0
486.0,87.0
487.0,87.0
488.0,87.0
489.0,87.0
490.0,87.0
491.0,87.0
492.0,87.0
493.0,87.0
494.0,87.0
495.0,87.0
496.0,87.0
497.0,87.0
498.0,87.0
499.0,86.0
500.0,86.0
501.0,86.0
502.0,86.0
503.0,86.0
504.0,86.0
505.0,86.0
506.0,86.0
507.0,86.0
508.0,86.0
509.0,86.0
510.0,86.0
511.0,86.0
512.0,86.0
513.0,86.0
514.0,86.0
515.0,86.0
516.0,86.0
517.0,87.0
518.0,87.0
519.0,87.0
520.0,87.0
521.0,87.0
522.0,87.0
523.0,87.0
524.0,87.0
525.0,87.0
526.0,87.0
527.0,87.0
528.0,87.0
529.0,87.0
530.0,88.0
531.0,88.0
532.0,88.0
533.0,88.0
534.0,88.0
535.0,88.0
536.0,88.0
537.0,88.0
538.0,88.0
539.0,88.0
540.0,88.0
541.0,88.0
542.0,88.0
543.0,87.0
544.0,87.0
545.0,87.0
546.0,87.0
547.0,87.0
548.0,87.0
549.0,87.0
550.0,87.0
551.0,87.0
552.0,87.0
553.0,87.0
554.0,87.0
555.0,87.0
556.0,87.0
557.0,87.0
558.0,87.0
559.0,87.0
560.0,86.0
561.0,86.0
562.0,86.0
563.0,86.0
564.0,86.0
565.0,86.0
566.0,86.0
567.0,86.0
568.0,86.0
569.0,86.0
570.0,86.0
571.0,86.0
572.0,86.0
573.0,86.0
574.0,86.0
575.0,86.0
576.0,86.0
577.0,86.0
578.0,86.0
579.0,86.0
580.0,86.0
581.0,86.0
582.0,86.0
583.0,86.0
584.0,86.0
585.0,86.0
586.0,86.0
587.0,86.0
588.0,86.0
589.0,86.0
590.0,86.0
591.0,86.0
592.0,86.0
593.0,86.0
594.0,86.0
595.0,86.0
596.0,86.0
597.0,86.0
598.0,86.0
599.0,86.0
600.0,87.0
601.0,87.0
602.0,87.0
603.0,87.0
604.0,87.0
605.0,87.0
606.0,87.0
607.0,87.0
608.0,87.0
609.0,87.0
610.0,87.0
611.0,87.0
612.0,87.0
613.0,87.0
614.0,87.0
615.0,87.0
616.0,87.0
617.0,87.0
618.0,87.0
619.0,87.0
620.0,87.0
621.0,87.0
622.0,87.0
623.0,87.0
624.0,87.0
625.0,87.0
626.0,87.0
627.0,87.0
628.0,87.0
629.0,87.0
630.0,87.0
631.0,87.0
632.0,87.0
633.0,87.0
634.0,87.0
635.0,87.0
636.0,87.0
637.0,87.0
638.0,87.0
639.0,87.0
640.0,87.0
641.0,87.0
642.0,87.0
643.0,87.0
644.0,87.0
645.0,87.0
646.0,87.0
647.0,87.0
648.0,87.0
649.0,87.0
650.0,87.0
651.0,87.0
652.0,87.0
653.0,87.0
654.0,87.0
655.0,87.0
656.0,87.0
657.0,87.0
658.0,87.0
659.0,87.0
660.0,87.0
661.0,87.0
662.0,87.0
663.0,87.0
664.0,87.0
665.0,87.0
666.0,87.0
667.0,87.0
668.0,87.0
669.0,87.0
670.0,87.0
671.0,87.0
672.0,87.0
673.0,87.0
674.0,87.0
675.0,87.0
676.0,87.0
677.0,87.0
678.0,87.0
679.0,87.0
680.0,87.0
681.0,87.0
682.0,87.0
683.0,87.0
684.0,87.0
685.0,87.0
686.0,87.0
687.0,87.0
688.0,87.0
689.0,87.0
690.0,87.0
691.0,87.0
692.0,87.0
693.0,87.0
694.0,87.0
695.0,87.0
696.0,87.0
697.0,87.0
698.0,87.0
699.0,87.0
700.0,87.0
701.0,87.0
702.0,87.0
703.0,87.0
704.0,87.0
705.0,87.0
706.0,87.0
707.0,87.0
708.0,87.0
709.0,87.0
710.0,87.0
711.0,87.0
712.0,87.0
713.0,87.0
714.0,87.0
715.0,87.0
716.0,87.0
717.0,87.0
718.0,87.0
719.0,87.0
720.0,87.0
721.0,87.0
722.0,87.0
723.0,87.0
724.0,87.0
725.0,87.0
726.0,87.0
727.0,87.0
728.0,87.0
729.0,87.0
730.0,87.0
731.0,87.0
732.0,87.0
733.0,87.0
734.0,87.0
735.0,87.0
736.0,87.0
737.0,87.0
738.0,87.0
739.0,87.0
740.0,87.0
741.0,87.0
742.0,87.0
743.0,87.0
744.0,87.0
745.0,87.0
746.0,87.0
747.0,87.0
748.0,87.0
749.0,87.0
750.0,87.0
751.0,87.0
752.0,87.0
753.0,87.0
754.0,87.0
755.0,87.0
756.0,87.0
757.0,87.0
758.0,87.0
759.0,88.0
760.0,88.0
761.0,88.0
762.0,88.0
763.0,89.0
764.0,89.0
765.0,89.0
766.0,89.0
767.0,90.0
768.0,90.0
769.0,91.0
770.0,91.0
771.0,91.0
772.0,91.0
773.0,91.0
774.0,91.0
775.0,91.0
776.0,90.0
777.0,90.0
778.0,90.0
779.0,89.0
780.0,89.0
781.0,89.0
782.0,89.0
783.0,89.0
784.0,88.0
785.0,88.0
786.0,88.0
787.0,88.0
788.0,88.0
789.0,88.0
790.0,88.0
791.0,89.0
792.0,89.0
793.0,89.0
794.0,89.0
795.0,89.0
796.0,89.0
797.0,89.0
798.0,89.0
799.0,90.0
800.0,90.0
