file,glass_id,manufacturer,ref_id,tau_v_percent,tau_UVA_315_380_percent,tau_SB_380_500_percent_ISO8980,tauV_percent_ISO8980,tau_SUVB_280_315_percent_ISO8980,tau_SUVA_315_380_percent_ISO8980,n_points,tauV_category_ISO12312_1,tauV_category_status,tauV_driving_ok,lambda_declared_nm_A1_2025
HOYA_01_W01_20251217_123457_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,93.943,21.242,93.172,93.943,,15.012,486,0,ok,True,
HOYA_01_W02_20251217_123522_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.809,21.242,93.564,94.809,,14.973,486,0,ok,True,
HOYA_01_W03_20251217_123558_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.66,21.364,93.493,94.66,,15.099,486,0,ok,True,
HOYA_01_W04_20251217_123637_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,95.612,21.288,94.327,95.612,,15.036,486,0,ok,True,
HOYA_01_W05_20251217_123701_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,95.54,21.333,94.098,95.54,,15.072,486,0,ok,True,
HOYA_01_W06_20251217_123738_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.6,21.318,93.483,94.6,,15.063,486,0,ok,True,
HOYA_01_W07_20251217_123801_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.631,21.273,93.577,94.631,,15.018,486,0,ok,True,
HOYA_01_W08_20251217_123830_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.412,21.273,93.399,94.412,,15.006,486,0,ok,True,
HOYA_01_W09_20251217_123855_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.67,21.197,93.464,94.67,,14.953,486,0,ok,True,
HOYA_01_W10_20251217_123923_TOPCON_SOLOS_420001417.xml,HOYA_01,HOYA,,94.635,21.242,93.491,94.635,,14.999,486,0,ok,True,
HOYA_02_W01_20251217_124855_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,95.627,21.455,94.151,95.627,,15.153,486,0,ok,True,
HOYA_02_W02_20251217_124921_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,95.377,21.242,94.071,95.377,,14.98,486,0,ok,True,
HOYA_02_W03_20251217_124948_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,95.67,21.47,94.293,95.67,,15.172,486,0,ok,True,
HOYA_02_W04_20251217_125211_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,94.737,21.394,93.428,94.737,,15.124,486,0,ok,True,
HOYA_02_W05_20251217_125305_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,95.066,21.545,93.677,95.066,,15.244,486,0,ok,True,
HOYA_02_W06_20251217_125330_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,94.428,21.379,93.26,94.428,,15.085,486,0,ok,True,
HOYA_02_W07_20251217_125409_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,94.099,21.455,93.325,94.099,,15.161,486,0,ok,True,
HOYA_02_W08_20251217_125437_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,95.635,21.515,94.344,95.635,,15.205,486,0,ok,True,
HOYA_02_W09_20251217_125505_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,94.252,21.455,93.371,94.252,,15.161,486,0,ok,True,
HOYA_02_W10_20251217_125535_TOPCON_SOLOS_420001417.xml,HOYA_02,HOYA,,94.653,21.424,93.403,94.653,,15.147,486,0,ok,True,
